year,number,song,artist,semanas
2013,29,Tu jardín con enanitos,Melendi,33 Semanas en lista
2013,30,Te Voy a Esperar,Juan Magan & Belinda,"43 Semanas en lista
1x"
2013,31,Thrift Shop,Macklemore/ Ryan Lewis/ Wanz,32 Semanas en lista
2013,32,More Than Friends,Inna Feat. Daddy Yankee,25 Semanas en lista
2013,33,Wrecking Ball,Miley Cyrus,17 Semanas en lista
2013,34,La La La,Naughty Boy feat Sam Smith,23 Semanas en lista
2013,35,SOLO TU,Paula Rojo,27 Semanas en lista
2013,36,Play Hard con Ne-yo y Akon,David Guetta,24 Semanas en lista
2013,37,Love Me Again (Kove Remix),John Newman,26 Semanas en lista
2013,38,A prueba de ti,Malú,17 Semanas en lista
2013,39,We Can`t Stop,Miley Cyrus,27 Semanas en lista
2013,40,El Pollito Pio,Pulcino Pio,23 Semanas en lista
2013,41,Can´t hold us,MACKLEMORE / RYAN LEWIS / RAY DALTON,33 Semanas en lista
2013,42,El Tiburón (The Shark),Henry Mendez,19 Semanas en lista
2013,43,Roar,Katy Perry,20 Semanas en lista
2013,44,Little Talks,Of Monsters and Men,31 Semanas en lista
2013,45,Te He Echado de Menos,Pablo Alborán,"65 Semanas en lista
1x"
2013,46,Applause,LADY GAGA,18 Semanas en lista
2013,47,Dont You Worry Child feat John Martin,Swedish House Mafia,34 Semanas en lista
2013,48,Hall of Fame,The Script feat. will.i.am,29 Semanas en lista
2013,49,Live It Up,Jennifer Lopez feat Pitbull,18 Semanas en lista
2013,50,Corre,Jesse & Joy,25 Semanas en lista
2014,1,Bailando,ENRIQUE IGLESIAS / DESCEMER BUENO / GENTE DE ZONA,"40 Semanas en lista
2x"
2014,2,Happy,Pharrell Williams,"53 Semanas en lista
1x"
2014,3,Diez Mil Maneras,David Bisbal,"28 Semanas en lista
1x"
2014,4,Changes,Faul & Wad Ad vs. Pnau,"35 Semanas en lista
1x"
2014,5,All Of Me,John Legend,"37 Semanas en lista
1x"
2014,6,Hey Brother,Avicii,"40 Semanas en lista
1x"
2014,7,La la la,SHAKIRA,26 Semanas en lista
2014,8,Loco,Enrique Iglesias feat Romeo Santos,"59 Semanas en lista
1x"
2014,9,Stolen Dance,Milky Chance,33 Semanas en lista
2014,10,Adrenalina,Wisin feat. Jennifer Lopez & Ricky Martin,31 Semanas en lista
2014,11,Prayer in C (Robin Schulz remix),"ROBIN SCHULZ, LILLY WOOD & THE PRICK",22 Semanas en lista
2014,12,All About That Bass,Meghan Trainor,17 Semanas en lista
2014,13,Chandelier,SIA,25 Semanas en lista
2014,14,Wings,BIRDY,26 Semanas en lista
2014,15,Waves,Mr. Probz,36 Semanas en lista
2014,16,A Sky Full of Stars,COLDPLAY,34 Semanas en lista
2014,17,Vivir mi vida,Marc Anthony,"73 Semanas en lista
1x"
2014,18,Rather Be (feat. Jess Glynne),Clean Bandit,28 Semanas en lista
2014,19,Timber,Pitbull feat. Ke$ha,40 Semanas en lista
2014,20,Can`t Remember To Forget You,Shakira feat. Rihanna,14 Semanas en lista
2014,21,Por fin,Pablo Alborán,15 Semanas en lista
2014,22,Love never felt so good (Feat Justin Timberlake),Michael Jackson,31 Semanas en lista
2014,23,Si no te quisiera,Juan Magan Feat. Belinda & Lapiz Conciente,16 Semanas en lista
2014,24,Paraíso,DVicio,23 Semanas en lista
2014,25,Hala Madrid... Y nada más,Real Madrid Feat. Redone,3 Semanas en lista
2014,26,Puppeteer,Auryn,21 Semanas en lista
2014,27,Summer,Calvin Harris,27 Semanas en lista
2014,28,Propuesta Indecente,ROMEO SANTOS,35 Semanas en lista
2014,29,Animals,Martin Garrix,33 Semanas en lista
2014,30,Story of My Life,One Direction,29 Semanas en lista
2014,31,Counting Stars,OneRepublic,29 Semanas en lista
2014,32,Dangerous feat. Sam Martin,David Guetta,12 Semanas en lista
2014,33,Jubel,Klingande,28 Semanas en lista
2014,34,Boig per tu,SHAKIRA,6 Semanas en lista
2014,35,Let Her Go,Passenger,"59 Semanas en lista
1x"
2014,36,Terriblemente Cruel,Leiva,22 Semanas en lista
2014,37,Rude,MAGIC!,21 Semanas en lista
2014,38,Lovers on the Sun,David Guetta,22 Semanas en lista
2014,39,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull feat. Jennifer Lopez & Claudia Leitte,18 Semanas en lista
2014,40,Shot Me Down feat Skylar Grey,David Guetta,27 Semanas en lista
2014,41,Dark Horse,Katy Perry,22 Semanas en lista
